acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre
0.818,0.201,245893,0.435,0.00245,7,0.0985,-7.149,1,0.033,156.477,3,0.349,1
0.015,0.547,261933,0.691,0.105,4,0.14400000000000002,-13.553,0,0.0369,137.148,4,0.667,-1
0.989,0.16,237960,0.0668,0.914,3,0.161,-18.868,1,0.0432,141.069,3,0.0344,-1
0.202,0.799,81281,0.39,0.028,8,0.188,-10.558,1,0.378,154.86,4,0.423,0
0.629,0.735,220488,0.449,0.0,10,0.113,-7.5070000000000014,1,0.34700000000000003,122.947,4,0.0397,0
0.949,0.58,87173,0.0427,0.987,6,0.065,-32.398,0,0.0367,113.911,4,0.774,-1
0.903,0.177,485667,0.127,0.901,8,0.114,-19.167,1,0.0394,149.69799999999995,4,0.0612,1
0.00321,0.482,323000,0.7859999999999999,8.88e-05,7,0.446,-5.735,1,0.032,126.755,4,0.7929999999999999,-1
0.0533,0.5479999999999999,302800,0.5820000000000001,0.0096,7,0.102,-10.194,0,0.0402,119.658,4,0.305,1
0.966,0.115,455467,0.0422,0.919,8,0.0896,-24.137,1,0.0404,87.855,3,0.037000000000000005,1
0.96,0.175,471043,0.231,0.0177,10,0.341,-13.488,1,0.0427,89.322,3,0.0397,1
0.17800000000000002,0.55,303200,0.5760000000000001,0.00935,0,0.0555,-13.475,1,0.0306,109.837,4,0.486,-1
0.0235,0.16699999999999998,165667,0.181,0.88,2,0.145,-15.928,0,0.0325,84.915,4,0.0504,1
0.7140000000000001,0.238,233600,0.227,0.8320000000000001,2,0.0837,-15.534,1,0.036000000000000004,129.392,4,0.29,1
0.7390000000000001,0.25,232027,0.5870000000000001,0.915,3,0.0932,-11.227,1,0.0469,78.059,4,0.206,1
0.28800000000000003,0.8059999999999999,160812,0.665,0.0,6,0.0748,-7.463999999999999,0,0.132,98.426,4,0.502,0
0.977,0.458,84267,0.11,0.903,9,0.359,-22.234,0,0.0309,83.43,4,0.481,1
0.687,0.4320000000000001,341773,0.389,0.0107,7,0.0788,-6.517,1,0.0255,139.506,4,0.158,-1
0.408,0.504,174840,0.578,0.0,4,0.321,-9.302,1,0.031,132.411,4,0.654,-1
0.995,0.436,224133,0.00518,0.932,7,0.0788,-36.593,1,0.067,135.286,5,0.275,1
0.8,0.122,110973,0.0862,0.901,9,0.108,-30.677,1,0.0367,180.363,4,0.0379,-1
0.993,0.261,221293,0.0144,0.932,6,0.0948,-28.002,0,0.0448,75.715,1,0.0738,1
0.8,0.122,110973,0.0862,0.901,9,0.108,-30.677,1,0.0367,180.363,4,0.0379,1
0.4320000000000001,0.601,281613,0.532,6.25e-06,10,0.0925,-9.119,1,0.0286,136.571,4,0.341,-1
0.0265,0.8420000000000001,170641,0.789,0.0,6,0.355,-8.732999999999999,0,0.17800000000000002,111.113,4,0.795,0
0.07200000000000001,0.76,168653,0.615,0.0,5,0.0571,-9.36,0,0.33,148.014,4,0.35100000000000003,0
0.011,0.31,255493,0.7,0.00965,9,0.0828,-5.678,1,0.047,188.386,4,0.763,-1
0.0188,0.861,153478,0.58,2.22e-06,8,0.0767,-7.07,0,0.338,157.875,4,0.805,0
0.118,0.7240000000000001,141224,0.435,0.0,1,0.119,-10.68,1,0.25,142.042,4,0.406,0
0.0239,0.8490000000000001,122587,0.536,0.0,1,0.126,-7.307,1,0.349,141.964,4,0.308,0
0.0102,0.7290000000000001,352906,0.989,4.45e-05,9,0.443,-4.613,0,0.049,126.47,4,0.84,-1
0.145,0.0891,371747,0.341,0.836,10,0.111,-12.681,0,0.046,85.23100000000002,3,0.0334,1
0.381,0.927,158769,0.623,0.0,4,0.0666,-6.886,0,0.245,130.05700000000002,4,0.596,0
0.969,0.116,195333,0.0694,0.644,0,0.109,-23.624,1,0.0497,169.78900000000004,4,0.0377,1
0.992,0.361,202360,0.0064,0.893,8,0.119,-30.422,1,0.057,135.904,4,0.1,-1
0.206,0.762,247178,0.703,0.0,10,0.0912,-7.951,0,0.306,151.329,4,0.519,0
0.221,0.7,140526,0.722,0.0,7,0.272,-3.5580000000000003,0,0.0369,90.989,4,0.7559999999999999,0
0.269,0.831,220487,0.499,0.0,11,0.3,-8.442,0,0.114,97.956,4,0.511,0
0.11800000000000001,0.903,178286,0.586,0.0,7,0.0931,-6.593,0,0.302,140.088,4,0.738,0
