acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,genre
0.0978,https://api.spotify.com/v1/audio-analysis/33gwZOGJWEZ7dRWPqPxBEZ,0.724,199758,0.675,33gwZOGJWEZ7dRWPqPxBEZ,9.41e-06,2,0.351,-5.267,1,0.0867,160.048,4,https://api.spotify.com/v1/tracks/33gwZOGJWEZ7dRWPqPxBEZ,audio_features,spotify:track:33gwZOGJWEZ7dRWPqPxBEZ,0.325,Hip-Hop
0.497,https://api.spotify.com/v1/audio-analysis/25Wq1OwZyKLMjVNXIhzVlV,0.713,175756,0.605,25Wq1OwZyKLMjVNXIhzVlV,3.46e-06,11,0.115,-7.487,1,0.107,142.025,4,https://api.spotify.com/v1/tracks/25Wq1OwZyKLMjVNXIhzVlV,audio_features,spotify:track:25Wq1OwZyKLMjVNXIhzVlV,0.432,Hip-Hop
0.027,https://api.spotify.com/v1/audio-analysis/0uinQuLSYDMua89kLVVnjv,0.648,194359,0.722,0uinQuLSYDMua89kLVVnjv,0.0,3,0.169,-9.992,0,0.489,176.553,4,https://api.spotify.com/v1/tracks/0uinQuLSYDMua89kLVVnjv,audio_features,spotify:track:0uinQuLSYDMua89kLVVnjv,0.275,Hip-Hop
0.144,https://api.spotify.com/v1/audio-analysis/3AMxuq6id3YGB57eWeheZQ,0.959,201960,0.508,3AMxuq6id3YGB57eWeheZQ,9.82e-05,2,0.136,-7.857,1,0.257,107.998,4,https://api.spotify.com/v1/tracks/3AMxuq6id3YGB57eWeheZQ,audio_features,spotify:track:3AMxuq6id3YGB57eWeheZQ,0.346,Hip-Hop
0.0369,https://api.spotify.com/v1/audio-analysis/5dABkHkvA7ud5nmDUArJ4r,0.873,188075,0.497,5dABkHkvA7ud5nmDUArJ4r,0.0324,7,0.119,-7.145,1,0.0899,145.013,4,https://api.spotify.com/v1/tracks/5dABkHkvA7ud5nmDUArJ4r,audio_features,spotify:track:5dABkHkvA7ud5nmDUArJ4r,0.746,Hip-Hop
0.0319,https://api.spotify.com/v1/audio-analysis/5Avbz4EKLvgyU152xwCIdl,0.839,185700,0.687,5Avbz4EKLvgyU152xwCIdl,9.62e-06,0,0.2,-6.648,1,0.0493,100.027,4,https://api.spotify.com/v1/tracks/5Avbz4EKLvgyU152xwCIdl,audio_features,spotify:track:5Avbz4EKLvgyU152xwCIdl,0.281,Hip-Hop
0.128,https://api.spotify.com/v1/audio-analysis/5MthcZ6FiOGA1iUmNrfNDV,0.798,156387,0.568,5MthcZ6FiOGA1iUmNrfNDV,0.0,11,0.134,-7.83,0,0.272,155.027,4,https://api.spotify.com/v1/tracks/5MthcZ6FiOGA1iUmNrfNDV,audio_features,spotify:track:5MthcZ6FiOGA1iUmNrfNDV,0.704,Hip-Hop
0.248,https://api.spotify.com/v1/audio-analysis/0SK6p0iQBwpWNwKVI4iLwq,0.515,207670,0.679,0SK6p0iQBwpWNwKVI4iLwq,3.02e-05,1,0.101,-6.169,0,0.186,147.994,4,https://api.spotify.com/v1/tracks/0SK6p0iQBwpWNwKVI4iLwq,audio_features,spotify:track:0SK6p0iQBwpWNwKVI4iLwq,0.416,Hip-Hop
0.00748,https://api.spotify.com/v1/audio-analysis/5SWnsxjhdcEDc7LJjq9UHk,0.819,195906,0.626,5SWnsxjhdcEDc7LJjq9UHk,0.101,10,0.167,-4.574,0,0.202,143.01,4,https://api.spotify.com/v1/tracks/5SWnsxjhdcEDc7LJjq9UHk,audio_features,spotify:track:5SWnsxjhdcEDc7LJjq9UHk,0.415,Hip-Hop
0.0111,https://api.spotify.com/v1/audio-analysis/341lTIxmhybbQsgydwJiFx,0.796,141123,0.683,341lTIxmhybbQsgydwJiFx,2.58e-06,10,0.126,-5.165,0,0.277,173.852,3,https://api.spotify.com/v1/tracks/341lTIxmhybbQsgydwJiFx,audio_features,spotify:track:341lTIxmhybbQsgydwJiFx,0.737,Hip-Hop
